Season,Week Number,Pediatric Deaths,PREVIOUS WEEK DEATHS,CURRENT WEEK DEATHS
2011-12,2012-04,0,0,0
2011-12,2012-05,2,2,0
2011-12,2012-06,1,1,0
2011-12,2012-07,1,1,0
2011-12,2012-08,0,0,0
2011-12,2012-09,7,7,0
2011-12,2012-10,2,2,0
2011-12,2012-11,2,2,0
2011-12,2012-12,1,1,0
2011-12,2012-13,5,5,0
2011-12,2012-14,2,2,0
2011-12,2012-15,0,0,0
2011-12,2012-16,0,0,0
2011-12,2012-17,6,6,0
2011-12,2012-18,1,1,0
2011-12,2012-19,2,2,0
2011-12,2012-20,0,0,0
2011-12,2012-21,1,1,0
2011-12,2012-22,0,0,0
2011-12,2012-23,1,1,0
2011-12,2012-24,0,0,0
2011-12,2012-25,0,0,0
2011-12,2012-26,0,0,0
2011-12,2012-27,0,0,0
2011-12,2012-28,0,0,0
2011-12,2012-29,0,0,0
2011-12,2012-30,0,0,0
2011-12,2012-31,0,0,0
2011-12,2012-32,0,0,0
2011-12,2012-33,0,0,0
2011-12,2012-34,0,0,0
2011-12,2012-35,0,0,0
2011-12,2012-36,0,0,0
2011-12,2012-37,0,0,0
2011-12,2012-38,0,0,0
2011-12,2012-39,0,0,0
2012-13,2012-40,1,1,0
2012-13,2012-41,0,0,0
2012-13,2012-42,0,0,0
2012-13,2012-43,2,2,0
2012-13,2012-44,0,0,0
2012-13,2012-45,0,0,0
2012-13,2012-46,3,3,0
2012-13,2012-47,2,2,0
2012-13,2012-48,7,7,0
2012-13,2012-49,1,1,0
2012-13,2012-50,10,10,0
2012-13,2012-51,5,5,0
2012-13,2012-52,6,6,0
2012-13,2013-01,14,14,0
2012-13,2013-02,10,10,0
2012-13,2013-03,8,8,0
2012-13,2013-04,17,17,0
2012-13,2013-05,9,9,0
2012-13,2013-06,9,9,0
2012-13,2013-07,8,8,0
2012-13,2013-08,10,10,0
2012-13,2013-09,7,7,0
2012-13,2013-10,3,3,0
2012-13,2013-11,8,8,0
2012-13,2013-12,7,7,0
2012-13,2013-13,5,5,0
2012-13,2013-14,5,5,0
2012-13,2013-15,3,3,0
2012-13,2013-16,4,4,0
2012-13,2013-17,2,2,0
2012-13,2013-18,0,0,0
2012-13,2013-19,0,0,0
2012-13,2013-20,1,1,0
2012-13,2013-21,1,1,0
2012-13,2013-22,0,0,0
2012-13,2013-23,0,0,0
2012-13,2013-24,0,0,0
2012-13,2013-25,0,0,0
2012-13,2013-26,0,0,0
2012-13,2013-27,1,1,0
2012-13,2013-28,0,0,0
2012-13,2013-29,0,0,0
2012-13,2013-30,0,0,0
2012-13,2013-31,0,0,0
2012-13,2013-32,0,0,0
2012-13,2013-33,1,1,0
2012-13,2013-34,0,0,0
2012-13,2013-35,0,0,0
2012-13,2013-36,0,0,0
2012-13,2013-37,0,0,0
2012-13,2013-38,0,0,0
2012-13,2013-39,1,1,0
2013-14,2013-40,0,0,0
2013-14,2013-41,0,0,0
2013-14,2013-42,1,1,0
2013-14,2013-43,1,1,0
2013-14,2013-44,0,0,0
2013-14,2013-45,0,0,0
2013-14,2013-46,0,0,0
2013-14,2013-47,1,1,0
2013-14,2013-48,0,0,0
2013-14,2013-49,1,1,0
2013-14,2013-50,2,2,0
2013-14,2013-51,3,3,0
2013-14,2013-52,7,7,0
2013-14,2014-01,7,7,0
2013-14,2014-02,11,11,0
2013-14,2014-03,13,13,0
2013-14,2014-04,11,11,0
2013-14,2014-05,7,7,0
2013-14,2014-06,7,7,0
2013-14,2014-07,2,2,0
2013-14,2014-08,4,4,0
2013-14,2014-09,5,5,0
2013-14,2014-10,5,5,0
2013-14,2014-11,1,1,0
2013-14,2014-12,2,2,0
2013-14,2014-13,3,3,0
2013-14,2014-14,1,1,0
2013-14,2014-15,1,1,0
2013-14,2014-16,3,3,0
2013-14,2014-17,2,2,0
2013-14,2014-18,4,4,0
2013-14,2014-19,1,1,0
2013-14,2014-20,0,0,0
2013-14,2014-21,1,1,0
2013-14,2014-22,1,1,0
2013-14,2014-23,2,2,0
2013-14,2014-24,0,0,0
2013-14,2014-25,0,0,0
2013-14,2014-26,0,0,0
2013-14,2014-27,0,0,0
2013-14,2014-28,0,0,0
2013-14,2014-29,0,0,0
2013-14,2014-30,0,0,0
2013-14,2014-31,0,0,0
2013-14,2014-32,1,1,0
2013-14,2014-33,0,0,0
2013-14,2014-34,0,0,0
2013-14,2014-35,0,0,0
2013-14,2014-36,0,0,0
2013-14,2014-37,0,0,0
2013-14,2014-38,0,0,0
2013-14,2014-39,0,0,0
2014-15,2014-40,1,1,0
2014-15,2014-41,0,0,0
2014-15,2014-42,0,0,0
2014-15,2014-43,1,1,0
2014-15,2014-44,0,0,0
2014-15,2014-45,0,0,0
2014-15,2014-46,3,3,0
2014-15,2014-47,1,1,0
2014-15,2014-48,2,2,0
2014-15,2014-49,4,4,0
2014-15,2014-50,7,7,0
2014-15,2014-51,17,17,0
2014-15,2014-52,13,13,0
2014-15,2014-53,13,13,0
2014-15,2015-01,12,12,0
2014-15,2015-02,5,5,0
2014-15,2015-03,10,10,0
2014-15,2015-04,10,10,0
2014-15,2015-05,8,8,0
2014-15,2015-06,4,4,0
2014-15,2015-07,2,2,0
2014-15,2015-08,9,9,0
2014-15,2015-09,5,5,0
2014-15,2015-10,4,4,0
2014-15,2015-11,5,5,0
2014-15,2015-12,1,1,0
2014-15,2015-13,0,0,0
2014-15,2015-14,1,1,0
2014-15,2015-15,2,2,0
2014-15,2015-16,1,1,0
2014-15,2015-17,2,2,0
2014-15,2015-18,0,0,0
2014-15,2015-19,2,2,0
2014-15,2015-20,0,0,0
2014-15,2015-21,1,1,0
2014-15,2015-22,0,0,0
2014-15,2015-23,1,1,0
2014-15,2015-24,0,0,0
2014-15,2015-25,0,0,0
2014-15,2015-26,0,0,0
2014-15,2015-27,0,0,0
2014-15,2015-28,0,0,0
2014-15,2015-29,0,0,0
2014-15,2015-30,0,0,0
2014-15,2015-31,0,0,0
2014-15,2015-32,1,1,0
2014-15,2015-33,0,0,0
2014-15,2015-34,0,0,0
2014-15,2015-35,0,0,0
2014-15,2015-36,0,0,0
2014-15,2015-37,0,0,0
2014-15,2015-38,0,0,0
2014-15,2015-39,0,0,0
2015-16,2015-40,0,0,0
2015-16,2015-41,0,0,0
2015-16,2015-42,0,0,0
2015-16,2015-43,0,0,0
2015-16,2015-44,2,2,0
2015-16,2015-45,0,0,0
2015-16,2015-46,0,0,0
2015-16,2015-47,0,0,0
2015-16,2015-48,2,2,0
2015-16,2015-49,1,1,0
2015-16,2015-50,1,1,0
2015-16,2015-51,1,1,0
2015-16,2015-52,1,1,0
2015-16,2016-01,0,0,0
2015-16,2016-02,2,2,0
2015-16,2016-03,0,0,0
2015-16,2016-04,3,3,0
2015-16,2016-05,1,1,0
2015-16,2016-06,2,2,0
2015-16,2016-07,5,5,0
2015-16,2016-08,8,8,0
2015-16,2016-09,6,6,0
2015-16,2016-10,4,4,0
2015-16,2016-11,10,10,0
2015-16,2016-12,8,8,0
2015-16,2016-13,11,11,0
2015-16,2016-14,9,9,0
2015-16,2016-15,4,4,0
2015-16,2016-16,1,1,0
2015-16,2016-17,2,2,0
2015-16,2016-18,1,1,0
2015-16,2016-19,3,3,0
2015-16,2016-20,0,0,0
2015-16,2016-21,2,2,0
2015-16,2016-22,1,1,0
2015-16,2016-23,1,1,0
2015-16,2016-24,0,0,0
2015-16,2016-25,1,1,0
2015-16,2016-26,0,0,0
2015-16,2016-27,1,1,0
2015-16,2016-28,1,1,0
2015-16,2016-29,0,0,0
2015-16,2016-30,0,0,0
2015-16,2016-31,0,0,0
2015-16,2016-32,0,0,0
2015-16,2016-33,0,0,0
2015-16,2016-34,0,0,0
2015-16,2016-35,0,0,0
2015-16,2016-36,0,0,0
2015-16,2016-37,0,0,0
2015-16,2016-38,0,0,0
2015-16,2016-39,0,0,0
2016-17,2016-40,0,0,0
2016-17,2016-41,0,0,0
2016-17,2016-42,0,0,0
2016-17,2016-43,0,0,0
2016-17,2016-44,0,0,0
2016-17,2016-45,0,0,0
2016-17,2016-46,0,0,0
2016-17,2016-47,0,0,0
2016-17,2016-48,1,1,0
2016-17,2016-49,1,1,0
2016-17,2016-50,1,1,0
2016-17,2016-51,4,4,0
2016-17,2016-52,1,1,0
2016-17,2017-01,5,5,0
2016-17,2017-02,4,4,0
2016-17,2017-03,4,4,0
2016-17,2017-04,9,9,0
2016-17,2017-05,5,5,0
2016-17,2017-06,8,8,0
2016-17,2017-07,12,12,0
2016-17,2017-08,11,11,0
2016-17,2017-09,1,1,0
2016-17,2017-10,4,4,0
2016-17,2017-11,5,5,0
2016-17,2017-12,3,3,0
2016-17,2017-13,3,3,0
2016-17,2017-14,5,5,0
2016-17,2017-15,10,10,0
2016-17,2017-16,3,3,0
2016-17,2017-17,3,3,0
2016-17,2017-18,1,1,0
2016-17,2017-19,0,0,0
2016-17,2017-20,1,1,0
2016-17,2017-21,2,2,0
2016-17,2017-22,0,0,0
2016-17,2017-23,1,1,0
2016-17,2017-24,0,0,0
2016-17,2017-25,0,0,0
2016-17,2017-26,0,0,0
2016-17,2017-27,0,0,0
2016-17,2017-28,0,0,0
2016-17,2017-29,0,0,0
2016-17,2017-30,0,0,0
2016-17,2017-31,0,0,0
2016-17,2017-32,0,0,0
2016-17,2017-33,1,1,0
2016-17,2017-34,0,0,0
2016-17,2017-35,1,1,0
2016-17,2017-36,0,0,0
2016-17,2017-37,0,0,0
2016-17,2017-38,0,0,0
2016-17,2017-39,0,0,0
2017-18,2017-40,0,0,0
2017-18,2017-41,0,0,0
2017-18,2017-42,1,1,0
2017-18,2017-43,0,0,0
2017-18,2017-44,3,3,0
2017-18,2017-45,2,2,0
2017-18,2017-46,2,2,0
2017-18,2017-47,1,1,0
2017-18,2017-48,0,0,0
2017-18,2017-49,0,0,0
2017-18,2017-50,3,3,0
2017-18,2017-51,8,8,0
2017-18,2017-52,7,7,0
2017-18,2018-01,15,15,0
2017-18,2018-02,10,10,0
2017-18,2018-03,15,15,0
2017-18,2018-04,18,18,0
2017-18,2018-05,12,12,0
2017-18,2018-06,17,17,0
2017-18,2018-07,12,12,0
2017-18,2018-08,14,14,0
2017-18,2018-09,13,13,0
2017-18,2018-10,3,3,0
2017-18,2018-11,7,7,0
2017-18,2018-12,4,4,0
2017-18,2018-13,5,5,0
2017-18,2018-14,4,4,0
2017-18,2018-15,0,0,0
2017-18,2018-16,4,4,0
2017-18,2018-17,0,0,0
2017-18,2018-18,1,1,0
2017-18,2018-19,1,1,0
2017-18,2018-20,1,1,0
2017-18,2018-21,2,2,0
2017-18,2018-22,1,1,0
2017-18,2018-23,0,0,0
2017-18,2018-24,0,0,0
2017-18,2018-25,0,0,0
2017-18,2018-26,0,0,0
2017-18,2018-27,0,0,0
2017-18,2018-28,0,0,0
2017-18,2018-29,0,0,0
2017-18,2018-30,0,0,0
2017-18,2018-31,0,0,0
2017-18,2018-32,0,0,0
2017-18,2018-33,0,0,0
2017-18,2018-34,0,0,0
2017-18,2018-35,0,0,0
2017-18,2018-36,0,0,0
2017-18,2018-37,0,0,0
2017-18,2018-38,2,2,0
2017-18,2018-39,0,0,0
2018-19,2018-40,1,1,0
2018-19,2018-41,1,1,0
2018-19,2018-42,0,0,0
2018-19,2018-43,0,0,0
2018-19,2018-44,0,0,0
2018-19,2018-45,0,0,0
2018-19,2018-46,2,2,0
2018-19,2018-47,1,1,0
2018-19,2018-48,1,1,0
2018-19,2018-49,2,2,0
2018-19,2018-50,1,1,0
2018-19,2018-51,4,4,0
2018-19,2018-52,7,7,0
2018-19,2019-01,1,1,0
2018-19,2019-02,4,4,0
2018-19,2019-03,4,4,0
2018-19,2019-04,7,7,0
2018-19,2019-05,8,8,0
2018-19,2019-06,15,15,0
2018-19,2019-07,9,9,0
2018-19,2019-08,10,10,0
2018-19,2019-09,8,8,0
2018-19,2019-10,6,6,0
2018-19,2019-11,6,6,0
2018-19,2019-12,11,11,0
2018-19,2019-13,8,8,0
2018-19,2019-14,3,3,0
2018-19,2019-15,4,4,0
2018-19,2019-16,2,2,0
2018-19,2019-17,3,3,0
2018-19,2019-18,4,4,0
2018-19,2019-19,3,3,0
2018-19,2019-20,2,2,0
2018-19,2019-21,1,1,0
2018-19,2019-22,1,1,0
2018-19,2019-23,0,0,0
2018-19,2019-24,1,1,0
2018-19,2019-25,0,0,0
2018-19,2019-26,0,0,0
2018-19,2019-27,1,1,0
2018-19,2019-28,0,0,0
2018-19,2019-29,0,0,0
2018-19,2019-30,1,1,0
2018-19,2019-31,0,0,0
2018-19,2019-32,0,0,0
2018-19,2019-33,0,0,0
2018-19,2019-34,0,0,0
2018-19,2019-35,0,0,0
2018-19,2019-36,1,1,0
2018-19,2019-37,1,1,0
2018-19,2019-38,0,0,0
2018-19,2019-39,0,0,0
2019-20,2019-40,0,0,0
2019-20,2019-41,2,2,0
2019-20,2019-42,0,0,0
2019-20,2019-43,0,0,0
2019-20,2019-44,2,2,0
2019-20,2019-45,2,2,0
2019-20,2019-46,2,2,0
2019-20,2019-47,3,3,0
2019-20,2019-48,4,4,0
2019-20,2019-49,6,6,0
2019-20,2019-50,7,7,0
2019-20,2019-51,6,6,0
2019-20,2019-52,11,11,0
2019-20,2020-01,18,18,0
2019-20,2020-02,14,14,0
2019-20,2020-03,15,15,0
2019-20,2020-04,14,14,0
2019-20,2020-05,13,13,0
2019-20,2020-06,16,16,0
2019-20,2020-07,19,19,0
2019-20,2020-08,7,7,0
2019-20,2020-09,11,11,0
2019-20,2020-10,7,7,0
2019-20,2020-11,11,11,0
2019-20,2020-12,2,2,0
2019-20,2020-13,2,2,0
2019-20,2020-14,1,1,0
2019-20,2020-15,0,0,0
2019-20,2020-16,0,0,0
2019-20,2020-17,2,2,0
2019-20,2020-18,0,0,0
2019-20,2020-19,0,0,0
2019-20,2020-20,2,2,0
2019-20,2020-21,0,0,0
2019-20,2020-22,0,0,0
2019-20,2020-23,0,0,0
2019-20,2020-24,0,0,0
2019-20,2020-25,0,0,0
2019-20,2020-26,0,0,0
2019-20,2020-27,0,0,0
2019-20,2020-28,0,0,0
2019-20,2020-29,0,0,0
2019-20,2020-30,0,0,0
2019-20,2020-31,0,0,0
2019-20,2020-32,0,0,0
2019-20,2020-33,0,0,0
2019-20,2020-34,0,0,0
2019-20,2020-35,0,0,0
2019-20,2020-36,0,0,0
2019-20,2020-37,0,0,0
2019-20,2020-38,0,0,0
2019-20,2020-39,0,0,0
2020-21,2020-40,0,0,0
2020-21,2020-41,0,0,0
2020-21,2020-42,0,0,0
2020-21,2020-43,0,0,0
2020-21,2020-44,0,0,0
2020-21,2020-45,0,0,0
2020-21,2020-46,0,0,0
2020-21,2020-47,0,0,0
2020-21,2020-48,1,1,0
2020-21,2020-49,0,0,0
2020-21,2020-50,0,0,0
2020-21,2020-51,0,0,0
2020-21,2020-52,0,0,0
2020-21,2020-53,0,0,0
2020-21,2021-01,0,0,0
2020-21,2021-02,0,0,0
2020-21,2021-03,0,0,0
2020-21,2021-04,0,0,0
2020-21,2021-05,0,0,0
2020-21,2021-06,0,0,0
2020-21,2021-07,0,0,0
2020-21,2021-08,0,0,0
2020-21,2021-09,0,0,0
2020-21,2021-10,0,0,0
2020-21,2021-11,0,0,0
2020-21,2021-12,0,0,0
2020-21,2021-13,0,0,0
2020-21,2021-14,0,0,0
2020-21,2021-15,0,0,0
2020-21,2021-16,0,0,0
2020-21,2021-17,0,0,0
2020-21,2021-18,0,0,0
2020-21,2021-19,0,0,0
2020-21,2021-20,0,0,0
2020-21,2021-21,0,0,0
2020-21,2021-22,0,0,0
2020-21,2021-23,0,0,0
2020-21,2021-24,0,0,0
2020-21,2021-25,0,0,0
2020-21,2021-26,0,0,0
2020-21,2021-27,0,0,0
2020-21,2021-28,0,0,0
2020-21,2021-29,0,0,0
2020-21,2021-30,0,0,0
2020-21,2021-31,0,0,0
2020-21,2021-32,0,0,0
2020-21,2021-33,0,0,0
2020-21,2021-34,0,0,0
2020-21,2021-35,0,0,0
2020-21,2021-36,0,0,0
2020-21,2021-37,0,0,0
2020-21,2021-38,0,0,0
2020-21,2021-39,0,0,0
2021-22,2021-40,0,0,0
2021-22,2021-41,0,0,0
2021-22,2021-42,0,0,0
2021-22,2021-43,0,0,0
2021-22,2021-44,0,0,0
2021-22,2021-45,0,0,0
2021-22,2021-46,0,0,0
2021-22,2021-47,1,1,0
2021-22,2021-48,0,0,0
2021-22,2021-49,1,1,0
2021-22,2021-50,1,1,0
2021-22,2021-51,1,1,0
2021-22,2021-52,1,1,0
2021-22,2022-01,1,1,0
2021-22,2022-02,2,2,0
2021-22,2022-03,2,2,0
2021-22,2022-04,2,2,0
2021-22,2022-05,1,1,0
2021-22,2022-06,0,0,0
2021-22,2022-07,5,5,0
2021-22,2022-08,2,2,0
2021-22,2022-09,2,2,0
2021-22,2022-10,2,2,0
2021-22,2022-11,1,1,0
2021-22,2022-12,2,2,0
2021-22,2022-13,1,1,0
2021-22,2022-14,1,1,0
2021-22,2022-15,2,2,0
2021-22,2022-16,2,2,0
2021-22,2022-17,0,0,0
2021-22,2022-18,1,1,0
2021-22,2022-19,1,1,0
2021-22,2022-20,3,3,0
2021-22,2022-21,3,3,0
2021-22,2022-22,0,0,0
2021-22,2022-23,2,2,0
2021-22,2022-24,0,0,0
2021-22,2022-25,1,1,0
2021-22,2022-26,0,0,0
2021-22,2022-27,1,1,0
2021-22,2022-28,0,0,0
2021-22,2022-29,1,1,0
2021-22,2022-30,1,1,0
2021-22,2022-31,0,0,0
2021-22,2022-32,0,0,0
2021-22,2022-33,1,1,0
2021-22,2022-34,0,0,0
2021-22,2022-35,0,0,0
2021-22,2022-36,0,0,0
2021-22,2022-37,1,1,0
2021-22,2022-38,0,0,0
2021-22,2022-39,0,0,0
2022-23,2022-40,2,2,0
2022-23,2022-41,1,1,0
2022-23,2022-42,2,2,0
2022-23,2022-43,5,5,0
2022-23,2022-44,10,10,0
2022-23,2022-45,6,6,0
2022-23,2022-46,6,6,0
2022-23,2022-47,17,17,0
2022-23,2022-48,21,21,0
2022-23,2022-49,16,16,0
2022-23,2022-50,20,20,0
2022-23,2022-51,21,21,0
2022-23,2022-52,9,9,0
2022-23,2023-01,8,8,0
2022-23,2023-02,9,9,0
2022-23,2023-03,4,4,0
2022-23,2023-04,3,3,0
2022-23,2023-05,3,3,0
2022-23,2023-06,0,0,0
2022-23,2023-07,3,3,0
2022-23,2023-08,2,2,0
2022-23,2023-09,3,3,0
2022-23,2023-10,0,0,0
2022-23,2023-11,3,3,0
2024-25,2025-17,1,1,0
2024-25,2025-18,0,0,0
2024-25,2025-19,2,2,0
2024-25,2025-20,0,0,0
2024-25,2025-21,2,2,0
2024-25,2025-22,2,2,0
2024-25,2025-23,1,1,0
2024-25,2025-24,2,2,0
2024-25,2025-25,0,0,0
2024-25,2025-26,0,0,0
2024-25,2025-27,2,2,0
2024-25,2025-28,0,0,0
2024-25,2025-29,0,0,0
2024-25,2025-30,0,0,0
2024-25,2025-31,0,0,0
2024-25,2025-32,0,0,0
2024-25,2025-33,0,0,0
2024-25,2025-34,3,3,0
2024-25,2025-35,0,0,0
2024-25,2025-36,0,0,0
2024-25,2025-37,0,0,0
2024-25,2025-38,0,0,0
2024-25,2025-39,0,0,0
2022-23,2023-12,0,0,0
2022-23,2023-13,0,0,0
2022-23,2023-14,0,0,0
2022-23,2023-15,1,1,0
2022-23,2023-16,0,0,0
2022-23,2023-17,0,0,0
2022-23,2023-18,1,1,0
2022-23,2023-19,2,2,0
2022-23,2023-20,1,1,0
2022-23,2023-21,1,1,0
2022-23,2023-22,2,2,0
2022-23,2023-23,0,0,0
2022-23,2023-24,0,0,0
2022-23,2023-25,0,0,0
2022-23,2023-26,0,0,0
2022-23,2023-27,1,1,0
2022-23,2023-28,1,1,0
2022-23,2023-29,0,0,0
2022-23,2023-30,0,0,0
2022-23,2023-31,0,0,0
2022-23,2023-32,1,1,0
2022-23,2023-33,0,0,0
2022-23,2023-34,0,0,0
2022-23,2023-35,0,0,0
2022-23,2023-36,0,0,0
2022-23,2023-37,0,0,0
2022-23,2023-38,1,1,0
2022-23,2023-39,1,1,0
2023-24,2023-40,1,1,0
2023-24,2023-41,0,0,0
2023-24,2023-42,1,1,0
2023-24,2023-43,1,1,0
2023-24,2023-44,1,1,0
2023-24,2023-45,3,3,0
2023-24,2023-46,8,8,0
2023-24,2023-47,2,2,0
2023-24,2023-48,1,1,0
2023-24,2023-49,6,6,0
2023-24,2023-50,11,11,0
2023-24,2023-51,10,10,0
2023-24,2023-52,11,11,0
2023-24,2024-01,21,21,0
2023-24,2024-02,10,10,0
2023-24,2024-03,8,8,0
2023-24,2024-04,11,11,0
2023-24,2024-05,9,9,0
2023-24,2024-06,12,12,0
2023-24,2024-07,11,11,0
2023-24,2024-08,9,9,0
2023-24,2024-09,14,14,0
2023-24,2024-10,6,6,0
2023-24,2024-11,6,6,0
2023-24,2024-12,8,8,0
2023-24,2024-13,7,7,0
2023-24,2024-14,6,6,0
2023-24,2024-15,4,4,0
2023-24,2024-16,3,3,0
2023-24,2024-17,2,2,0
2023-24,2024-18,1,1,0
2023-24,2024-19,1,1,0
2023-24,2024-20,1,1,0
2023-24,2024-21,1,1,0
2023-24,2024-22,0,0,0
2023-24,2024-23,0,0,0
2023-24,2024-24,0,0,0
2023-24,2024-25,0,0,0
2023-24,2024-26,0,0,0
2023-24,2024-27,0,0,0
2023-24,2024-28,0,0,0
2023-24,2024-29,0,0,0
2023-24,2024-30,0,0,0
2023-24,2024-31,1,1,0
2023-24,2024-32,0,0,0
2023-24,2024-33,1,1,0
2023-24,2024-34,0,0,0
2023-24,2024-35,0,0,0
2023-24,2024-36,0,0,0
2023-24,2024-37,0,0,0
2023-24,2024-38,0,0,0
2023-24,2024-39,1,1,0
2024-25,2024-40,0,0,0
2024-25,2024-41,1,1,0
2024-25,2024-42,0,0,0
2024-25,2024-43,0,0,0
2024-25,2024-44,0,0,0
2024-25,2024-45,1,1,0
2024-25,2024-46,0,0,0
2024-25,2024-47,1,1,0
2024-25,2024-48,1,1,0
2024-25,2024-49,2,2,0
